mmsi,ts,time_bin,lat,lon,speed,course
413290840,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.625187,119.79592,0.0,360.0
413303420,2022-04-24 00:00:05+00:00,2022-04-24 00:00:00+00:00,36.00071,120.190195,0.0,125.1
413304040,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.036785,120.745003,9.0,239.5
413320410,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.086073,120.316198,0.0,257.3
413327130,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,35.580858,119.766092,0.0,271.4
413327140,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.586753,119.797197,0.1,315.0
413327770,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.580843,119.764677,0.0,274.4
413329480,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.100392,120.321608,0.0,289.4
413329840,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.100842,120.323052,0.0,243.2
413330270,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.58679,119.797952,0.0,72.9
413331340,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.002188,120.189063,0.0,318.5
413331920,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.586842,119.798098,0.0,49.2
413332470,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.98053,120.241387,0.0,277.9
413332770,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.69587,119.969147,0.2,76.6
413333830,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,35.57405,119.756347,0.0,123.2
413348755,2022-04-24 00:00:07+00:00,2022-04-24 00:00:00+00:00,35.857312,120.284578,2.2,243.7
413356720,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.095213,120.321222,0.0,0.0
413359920,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.47528,119.900753,0.0,224.7
413361360,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.788157,122.392417,9.1,218.8
413378440,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.08957,120.214328,0.1,194.1
413450140,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,36.102883,120.244583,0.1,18.0
413537589,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.306987,119.888648,3.5,306.9
413552840,2022-04-24 00:00:08+00:00,2022-04-24 00:00:00+00:00,35.58174,119.746493,0.0,360.0
413591390,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.246542,119.630013,0.0,220.9
413702180,2022-04-24 00:00:06+00:00,2022-04-24 00:00:00+00:00,36.100933,121.805955,9.2,45.0
413772333,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,35.275245,119.632262,7.6,254.4
413798121,2022-04-24 00:00:01+00:00,2022-04-24 00:00:00+00:00,36.052253,120.302213,0.0,210.6
413888777,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,36.04463,120.406062,11.9,249.6
413979000,2022-04-24 00:00:10+00:00,2022-04-24 00:00:00+00:00,35.330352,119.68303,0.3,234.1
415022309,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,36.27362,121.5208,2.9,290.8
440043000,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.466732,119.887068,0.2,336.2
441992000,2022-04-24 00:00:04+00:00,2022-04-24 00:00:00+00:00,35.994143,120.269467,0.0,145.7
477335600,2022-04-24 00:00:09+00:00,2022-04-24 00:00:00+00:00,35.967088,121.026878,0.3,359.1
477744100,2022-04-24 00:00:03+00:00,2022-04-24 00:00:00+00:00,35.304825,119.784887,0.1,76.5
477826600,2022-04-24 00:00:00+00:00,2022-04-24 00:00:00+00:00,36.01823,120.21383,0.0,43.6
477942500,2022-04-24 00:00:02+00:00,2022-04-24 00:00:00+00:00,36.001222,120.259045,0.0,249.5
